,address,nbtoken,NumNFT,FirstTimeOwner,FirstTokenName,FirstTokenSymbol,nb_token
0,0xB4ebaD2B16a9d50C3d9EAB49AfbDc1b00199F50E,,1,True,Piano King NFT,PK,1.0
0,0xfeA83A88554E6E913f15d50da168F11c00549705,,1,True,Piano King NFT,PK,1.0
0,0x50eBe27620Ce4Ce8cf31943E1aBF58Ac2bF74fED,,5,True,Piano King NFT,PK,5.0
0,0x15d525F769E72085fF4B622E838e4270d0fC6121,,2,False,Party Grandpa Retirement Club,PGRC,1.0
0,0xd2b13Df895F1B532CADf101975fA515Df2b8344D,,2,True,Piano King NFT,PK,1.0
0,0xC207888E2ad7B5A823ed3eCc488BA73DBd25e281,,2,False,Rarible,RARI,1.0
0,0xa7dAd09AE5b851181F52e4551870694a118AE985,,1,True,Piano King NFT,PK,1.0
0,0x9179b94D5c883B77EDE97c56d9784FD4d31C7D66,,1,True,Piano King NFT,PK,1.0
0,0x16C3a5D745B7Be7CCD140d68F656d8c4419CF12f,,2,False,VeeFriends,VFT,1.0
0,0x610a50BE24AC783592E288bd462B63a80278cC11,,2,True,Piano King NFT,PK,2.0
0,0xCDdb2F85f2881103302eA44223D0049B66C239c3,,2,False,EMETH,EMETH,1.0
0,0xDB346Ff9A8204C90dA8019ad25Db75a5E07FaCbD,,6,True,Piano King NFT,PK,3.0
0,0x12F1d06ca47c7B056487269065580f8ff7C04316,,1,True,Piano King NFT,PK,1.0
0,0x29a5Dbe6a95f2C49918598236e5568898a8e1Dbc,,1,True,Piano King NFT,PK,1.0
0,0xF4aCC1ed6E32e3B043295CA16003E2F64F50D117,,41,False,Gods Unchained Cards,CARD,25.0
0,0x442FA40d64Ed28758E84e69aF827b9B2608D44c7,,32,False,Bricktopians,BTP,25.0
0,0x40ef7Db7229Ee2a748931439b31cF741fE0C09FB,,10,False,Lonely Frog Lambo Club,LFLC,1.0
0,0xF23984f89Ad0181988C3F1F700Fae29EbA0D16aA,,1,True,Piano King NFT,PK,1.0
0,0xf36710F7735EFE097f27d9fF347A72C40e8c3dCD,,11,True,Piano King NFT,PK,10.0
0,0x95B043e70b6FEce9B4ED4a28c5e4ac9Bffa28Da8,,278,False,Rarible,RARI,2.0
0,0x516C6d173917c996C2E92bb54c1D14b2cD269456,,3,True,Piano King NFT,PK,1.0
0,0x53614bD49bAF8A1d9D462D77dce0CAF7Ed596D7a,,2,True,Piano King NFT,PK,2.0
